ICD-9 code 1,ICD-9 code 2,Shared SNP associations,ICD-9 code 1 description,ICD-9 code 2 description,ICD-9 code category 1,ICD-9 code category 2
250.01,340.0,104,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",MULTIPLE SCLEROSIS,Endocrine_Disorders,Neurological_Disorders
429.2,440.9,27,UNSPECIFIED CARDIOVASCULAR DISEASE,GENERALIZED AND UNSPECIFIED ATHEROSCLEROSIS,Other_Cardiovascular_Disorders,Cardiovascular_Disorders
250.01,714.0,63,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",RHEUMATOID ARTHRITIS,Endocrine_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
250.01,696.1,75,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",OTHER PSORIASIS,Endocrine_Disorders,Other_Skin_and_Subcutaneous_Disorders
340.0,696.1,53,MULTIPLE SCLEROSIS,OTHER PSORIASIS,Neurological_Disorders,Other_Skin_and_Subcutaneous_Disorders
365.11,365.7,21,PRIMARY OPEN-ANGLE GLAUCOMA,"GLAUCOMA STAGE, UNSPECIFIED",Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
340.0,714.0,38,MULTIPLE SCLEROSIS,RHEUMATOID ARTHRITIS,Neurological_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
244.9,250.01,62,UNSPECIFIED HYPOTHYROIDISM,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",Endocrine_Disorders,Endocrine_Disorders
250.01,443.0,33,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",RAYNAUD'S SYNDROME,Endocrine_Disorders,Other_Cardiovascular_Disorders
402.91,428.3,13,UNSPECIFIED HYPERTENSIVE HEART DISEASE WITH HEART FAILURE,UNSPECIFIED DIASTOLIC HEART FAILURE,Cardiovascular_Disorders,Cardiovascular_Disorders
272.4,340.0,33,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,MULTIPLE SCLEROSIS,Other_Nutritional_Disorders,Neurological_Disorders
340.0,443.0,24,MULTIPLE SCLEROSIS,RAYNAUD'S SYNDROME,Neurological_Disorders,Other_Cardiovascular_Disorders
238.2,702.0,24,NEOPLASM OF UNCERTAIN BEHAVIOR OF SKIN,ACTINIC KERATOSIS,Neoplasms,Skin_and_Subcutaneous_Disorders
244.9,340.0,41,UNSPECIFIED HYPOTHYROIDISM,MULTIPLE SCLEROSIS,Endocrine_Disorders,Neurological_Disorders
564.2,579.3,21,POSTGASTRIC SURGERY SYNDROMES,OTHER AND UNSPECIFIED POSTSURGICAL NONABSORPTION,Digestive_System_Disorders,Other_Digestive_System_Disorders
244.9,696.1,45,UNSPECIFIED HYPOTHYROIDISM,OTHER PSORIASIS,Endocrine_Disorders,Other_Skin_and_Subcutaneous_Disorders
268.9,340.0,24,UNSPECIFIED VITAMIN D DEFICIENCY,MULTIPLE SCLEROSIS,Late_Effects_of_Ricketts,Neurological_Disorders
362.5,362.51,14,"MACULAR DEGENERATION (SENILE) OF RETINA, UNSPECIFIED",NONEXUDATIVE SENILE MACULAR DEGENERATION OF RETINA,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
